Time	Lead II
7.88	0.00396992
7.89	0.00179318
7.9	0.0378779
7.91	0.0123212
7.92	0.0524396
7.93	0.0563768
7.94	0.0544961
7.95	0.0992191
7.96	0.0826373
7.97	0.131865
7.98	0.141692
7.99	0.130752
8	0.156302
8.01	0.103545
8.02	0.0478852
8.03	0.0237988
8.04	-0.00629191
8.05	0.0123361
8.06	-0.0409446
8.07	-0.0381825
8.08	-0.0408231
8.09	-0.0609094
8.1	-0.0289344
8.11	-0.0697146
8.12	-0.0481121
8.13	-0.0334114
8.14	-0.0586551
8.15	-0.0282286
8.16	-0.0550299
8.17	-0.0329292
8.18	-0.0301627
8.19	-0.0476288
8.2	-0.0133777
8.21	-0.0477536
8.22	-0.0344121
8.23	-0.0404496
8.24	-0.0672125
8.25	-0.0395676
8.26	-0.0756823
8.27	-0.0593234
8.28	-0.0627672
8.29	-0.0832782
8.3	-0.0419198
8.31	-0.0685554
8.32	-0.0448777
8.33	-0.0488543
8.34	-0.0715199
8.35	-0.0197251
8.36	-0.0252802
8.37	0.0107734
8.38	0.0248479
8.39	0.018504
8.4	0.0452854
8.41	0.00366074
8.42	0.0134219
8.43	-0.00516119
8.44	-0.0415284
8.45	-0.0288659
8.46	-0.0759659
8.47	-0.0637298
8.48	-0.072617
8.49	-0.0871312
8.5	-0.0489262
8.51	-0.0791208
8.52	-0.0151801
8.53	0.11885
8.54	0.324867
8.55	0.454971
8.56	0.248052
8.57	0.0154004
8.58	-0.11819
8.59	-0.141117
8.6	-0.0734041
8.61	-0.0733782
8.62	-0.0254034
8.63	-0.0259591
8.64	-0.0466619
8.65	-0.0216234
8.66	-0.0587808
8.67	-0.0317326
8.68	-0.0318524
8.69	-0.0462083
8.7	-0.0120599
8.71	-0.0379237
8.72	-0.00916252
8.73	-0.00731285
8.74	-0.0106228
8.75	0.0330524
8.76	0.0228076
8.77	0.0709237
8.78	0.0789426
8.79	0.0725392
8.8	0.102151
8.81	0.0669234
8.82	0.0894436
8.83	0.0625917
8.84	0.0213453
8.85	0.0165714
8.86	-0.0463163
8.87	-0.0359605
8.88	-0.0584166
8.89	-0.0841243
8.9	-0.0657973
8.91	-0.0975709
8.92	-0.0432983
8.93	0.0133012
8.94	-0.02027
8.95	-0.0125714
8.96	-0.0551658
8.97	-0.0307361
8.98	-0.0256038
8.99	-0.0445403
9	-0.0141488
9.01	-0.0463875
9.02	-0.025132
9.03	-0.020178
9.04	-0.0440118
9.05	-0.0215998
9.06	-0.0568686
9.07	-0.0347223
9.08	-0.0356709
9.09	-0.0504942
9.1	-0.00729916
9.11	-0.0345093
